province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,物理,北京林业大学,专业组 233,585,39242,本科批,17,物理,0,院校代码:10022;专业组:233;计划数:17
广东,2025,物理,北京林业大学,专业组 234,599,27312,本科批,30,物理,0,院校代码:10022;专业组:234;计划数:30
广东,2025,物理,北京林业大学(中外合作办学),专业组 235,574,50162,本科批,5,物理,0,院校代码:10022;专业组:235;计划数:5
广东,2025,物理,北京林业大学,专业组 237,586,38482,本科批,2,物理,0,院校代码:10022;专业组:237;计划数:2
广东,2025,物理,北京林业大学,专业组 238,595,30729,本科批,7,物理,0,院校代码:10022;专业组:238;计划数:7
广东,2025,物理,北京中医药大学,专业组 211,597,28849,本科批,4,物理,0,院校代码:10026;专业组:211;计划数:4
广东,2025,物理,北京中医药大学,专业组 214,602,24867,本科批,30,物理,0,院校代码:10026;专业组:214;计划数:30
广东,2025,物理,北京师范大学,专业组 213,639,6364,本科批,8,物理,0,院校代码:10027;专业组:213;计划数:8
广东,2025,物理,北京师范大学,专业组 215,645,4899,本科批,25,物理,0,院校代码:10027;专业组:215;计划数:25
广东,2025,物理,首都师范大学,专业组 210,599,27545,本科批,2,物理,0,院校代码:10028;专业组:210;计划数:2
广东,2025,物理,首都师范大学,专业组 211,611,18891,本科批,2,物理,0,院校代码:10028;专业组:211;计划数:2
广东,2025,物理,首都师范大学,专业组 212,599,27762,本科批,8,物理,0,院校代码:10028;专业组:212;计划数:8
广东,2025,物理,首都师范大学,专业组 213,594,31598,本科批,5,物理,0,院校代码:10028;专业组:213;计划数:5
广东,2025,物理,首都体育学院,专业组 205,554,75816,本科批,4,物理,0,院校代码:10029;专业组:205;计划数:4
广东,2025,物理,北京外国语大学,专业组 214,606,22604,本科批,16,物理,0,院校代码:10030;专业组:214;计划数:16
广东,2025,物理,北京外国语大学,专业组 216,619,14755,本科批,3,物理,0,院校代码:10030;专业组:216;计划数:3
广东,2025,物理,北京外国语大学,专业组 217,615,16825,本科批,1,物理,0,院校代码:10030;专业组:217;计划数:1
广东,2025,物理,北京外国语大学(中外合作办学),专业组 218,591,33701,本科批,2,物理,0,院校代码:10030;专业组:218;计划数:2
广东,2025,物理,北京第二外国语学院,专业组 208,556,72839,本科批,9,物理,0,院校代码:10031;专业组:208;计划数:9
广东,2025,物理,北京语言大学,专业组 215,571,54292,本科批,23,物理,0,院校代码:10032;专业组:215;计划数:23
广东,2025,物理,北京语言大学(中外合作办学),专业组 216,521,127733,本科批,10,物理,0,院校代码:10032;专业组:216;计划数:10
广东,2025,物理,北京语言大学,专业组 217,581,43421,本科批,21,物理,0,院校代码:10032;专业组:217;计划数:21
广东,2025,物理,北京语言大学,专业组 218,576,48019,本科批,3,物理,0,院校代码:10032;专业组:218;计划数:3
广东,2025,物理,中国传媒大学,专业组 211,599,27457,本科批,18,物理,0,院校代码:10033;专业组:211;计划数:18
广东,2025,物理,中国传媒大学(中外合作办学),专业组 212,588,36181,本科批,5,物理,0,院校代码:10033;专业组:212;计划数:5
广东,2025,物理,中国传媒大学,专业组 213,609,20328,本科批,29,物理,0,院校代码:10033;专业组:213;计划数:29
广东,2025,物理,中国传媒大学(中外合作办学),专业组 214,586,38197,本科批,12,物理,0,院校代码:10033;专业组:214;计划数:12
广东,2025,物理,中国传媒大学,专业组 216,615,16791,本科批,4,物理,0,院校代码:10033;专业组:216;计划数:4
广东,2025,物理,中国传媒大学,专业组 217,612,18595,本科批,2,物理,0,院校代码:10033;专业组:217;计划数:2
广东,2025,物理,中央财经大学,专业组 208,618,15294,本科批,63,物理,0,院校代码:10034;专业组:208;计划数:63
广东,2025,物理,中央财经大学(中外合作办学),专业组 209,608,21279,本科批,8,物理,0,院校代码:10034;专业组:209;计划数:8
广东,2025,物理,对外经济贸易大学,专业组 208,615,16918,本科批,39,物理,0,院校代码:10036;专业组:208;计划数:39
广东,2025,物理,对外经济贸易大学,专业组 209,617,15626,本科批,8,物理,0,院校代码:10036;专业组:209;计划数:8
广东,2025,物理,对外经济贸易大学(中外合作办学),专业组 210,606,22498,本科批,11,物理,0,院校代码:10036;专业组:210;计划数:11
广东,2025,物理,北京物资学院(中外合作办学),专业组 205,537,100622,本科批,2,物理,0,院校代码:10037;专业组:205;计划数:2
广东,2025,物理,北京物资学院,专业组 206,550,81321,本科批,3,物理,0,院校代码:10037;专业组:206;计划数:3
广东,2025,物理,首都经济贸易大学,专业组 205,581,43252,本科批,3,物理,0,院校代码:10038;专业组:205;计划数:3
广东,2025,物理,首都经济贸易大学,专业组 206,587,37413,本科批,3,物理,0,院校代码:10038;专业组:206;计划数:3
广东,2025,物理,中国人民公安大学,专业组 202,613,17766,本科批,4,物理,0,院校代码:10041;专业组:202;计划数:4
广东,2025,物理,北京体育大学,专业组 218,596,29743,本科批,2,物理,0,院校代码:10043;专业组:218;计划数:2
广东,2025,物理,北京体育大学,专业组 219,592,32654,本科批,3,物理,0,院校代码:10043;专业组:219;计划数:3
广东,2025,物理,北京体育大学(中外合作办学),专业组 220,541,95225,本科批,7,物理,0,院校代码:10043;专业组:220;计划数:7
广东,2025,物理,北京体育大学,专业组 221,593,32588,本科批,1,物理,0,院校代码:10043;专业组:221;计划数:1
广东,2025,物理,北京体育大学,专业组 222,595,30261,本科批,2,物理,0,院校代码:10043;专业组:222;计划数:2
广东,2025,物理,中国音乐学院,专业组 204,580,43927,本科批,1,物理,0,院校代码:10046;专业组:204;计划数:1
广东,2025,物理,中央美术学院,专业组 208,586,38478,本科批,3,物理,0,院校代码:10047;专业组:208;计划数:3
广东,2025,物理,中央美术学院(中外合作办学),专业组 209,582,42660,本科批,4,物理,0,院校代码:10047;专业组:209;计划数:4
广东,2025,物理,中央美术学院,专业组 210,608,20851,本科批,3,物理,0,院校代码:10047;专业组:210;计划数:3
广东,2025,物理,北京电影学院,专业组 211,594,31130,本科批,2,物理,0,院校代码:10050;专业组:211;计划数:2
广东,2025,物理,北京电影学院,专业组 212,604,23427,本科批,2,物理,0,院校代码:10050;专业组:212;计划数:2
