province,year,track,score,rank
广东,2025,物理,468,223377
广东,2025,物理,467,225140
广东,2025,物理,466,226882
广东,2025,物理,465,228607
广东,2025,物理,464,230354
广东,2025,物理,463,232147
广东,2025,物理,462,233849
广东,2025,物理,461,235571
广东,2025,物理,460,237278
广东,2025,物理,459,238974
广东,2025,物理,458,240709
广东,2025,物理,457,242362
广东,2025,物理,456,244021
广东,2025,物理,455,245732
广东,2025,物理,454,247454
广东,2025,物理,453,249028
广东,2025,物理,452,250610
广东,2025,物理,451,252224
广东,2025,物理,450,253908
广东,2025,物理,449,255631
广东,2025,物理,448,257328
广东,2025,物理,447,258894
广东,2025,物理,446,260581
广东,2025,物理,445,262283
广东,2025,物理,444,263920
广东,2025,物理,443,265539
广东,2025,物理,442,267187
广东,2025,物理,441,268805
广东,2025,物理,440,270315
广东,2025,物理,439,271905
广东,2025,物理,438,273495
广东,2025,物理,437,275055
广东,2025,物理,436,276586
广东,2025,物理,435,278084
广东,2025,物理,434,279541
广东,2025,物理,433,281035
广东,2025,物理,432,282499
广东,2025,物理,431,283962
广东,2025,物理,430,285465
广东,2025,物理,429,286931
广东,2025,物理,428,288316
广东,2025,物理,427,289791
广东,2025,物理,426,291308
广东,2025,物理,425,292746
广东,2025,物理,424,294129
广东,2025,物理,423,295597
广东,2025,物理,422,296976
广东,2025,物理,421,298351
广东,2025,物理,420,299774
广东,2025,物理,419,301072
广东,2025,物理,418,302443
广东,2025,物理,417,303741
广东,2025,物理,416,305046
广东,2025,物理,415,306389
广东,2025,物理,414,307667
广东,2025,物理,413,308909
广东,2025,物理,412,310237
广东,2025,物理,411,311496
广东,2025,物理,410,312789
广东,2025,物理,409,314019
广东,2025,物理,408,315278
广东,2025,物理,407,316531
广东,2025,物理,406,317773
广东,2025,物理,405,318978
广东,2025,物理,404,320242
广东,2025,物理,403,321485
广东,2025,物理,402,322739
广东,2025,物理,401,323941
广东,2025,物理,400,325155
广东,2025,物理,399,326337
广东,2025,物理,398,327478
广东,2025,物理,397,328624
广东,2025,物理,396,329796
广东,2025,物理,395,330957
广东,2025,物理,394,332031
广东,2025,物理,393,333187
广东,2025,物理,392,334283
广东,2025,物理,391,335441
广东,2025,物理,390,336597
广东,2025,物理,389,337661
广东,2025,物理,388,338715
广东,2025,物理,387,339747
广东,2025,物理,386,340796
广东,2025,物理,385,341781
广东,2025,物理,384,342787
广东,2025,物理,383,343782
广东,2025,物理,382,344806
广东,2025,物理,381,345875
广东,2025,物理,380,346920
广东,2025,物理,379,347936
广东,2025,物理,378,348911
广东,2025,物理,377,349933
广东,2025,物理,376,350981
广东,2025,物理,375,351946
广东,2025,物理,374,352948
广东,2025,物理,373,353893
广东,2025,物理,372,354858
广东,2025,物理,371,355800
广东,2025,物理,370,356737
广东,2025,物理,369,357665
广东,2025,物理,368,358579
广东,2025,物理,367,359476
广东,2025,物理,366,360389
广东,2025,物理,365,361276
广东,2025,物理,364,362138
广东,2025,物理,363,363013
广东,2025,物理,362,363954
广东,2025,物理,361,364871
广东,2025,物理,360,365722
广东,2025,物理,359,366562
广东,2025,物理,358,367456
广东,2025,物理,357,368329
广东,2025,物理,356,369221
广东,2025,物理,355,370030
广东,2025,物理,354,370886
广东,2025,物理,353,371700
广东,2025,物理,352,372487
广东,2025,物理,351,373278
广东,2025,物理,350,374101
广东,2025,物理,349,374854
广东,2025,物理,348,375622
广东,2025,物理,347,376428
广东,2025,物理,346,377178
广东,2025,物理,345,377940
广东,2025,物理,344,378695
广东,2025,物理,343,379416
广东,2025,物理,342,380163
广东,2025,物理,341,380924
广东,2025,物理,340,381635
广东,2025,物理,339,382414
广东,2025,物理,338,383177
广东,2025,物理,337,383898
广东,2025,物理,336,384622
广东,2025,物理,335,385349
广东,2025,物理,334,386087
广东,2025,物理,333,386765
广东,2025,物理,332,387470
广东,2025,物理,331,388145
广东,2025,物理,330,388861
广东,2025,物理,329,389521
广东,2025,物理,328,390212
广东,2025,物理,327,390935
广东,2025,物理,326,391624
广东,2025,物理,325,392297
广东,2025,物理,324,392898
广东,2025,物理,323,393519
广东,2025,物理,322,394162
广东,2025,物理,321,394814
广东,2025,物理,320,395472
广东,2025,物理,319,396142
广东,2025,物理,318,396766
广东,2025,物理,317,397377
广东,2025,物理,316,398071
广东,2025,物理,315,398699
广东,2025,物理,314,399288
广东,2025,物理,313,399931
广东,2025,物理,312,400566
广东,2025,物理,311,401146
广东,2025,物理,310,401728
广东,2025,物理,309,402303
广东,2025,物理,308,402910
广东,2025,物理,307,403469
广东,2025,物理,306,404067
广东,2025,物理,305,404645
广东,2025,物理,304,405203
广东,2025,物理,303,405798
广东,2025,物理,302,406379
广东,2025,物理,301,406922
广东,2025,物理,300,407489
广东,2025,物理,299,408034
广东,2025,物理,298,408554
广东,2025,物理,297,409126
广东,2025,物理,296,409641
广东,2025,物理,295,410194
广东,2025,物理,294,410708
广东,2025,物理,293,411226
广东,2025,物理,292,411718
广东,2025,物理,291,412244
广东,2025,物理,290,412736
广东,2025,物理,289,413205
广东,2025,物理,288,413689
广东,2025,物理,287,414201
广东,2025,物理,286,414713
广东,2025,物理,285,415234
广东,2025,物理,284,415720
广东,2025,物理,283,416183
广东,2025,物理,282,416677
广东,2025,物理,281,417156
广东,2025,物理,280,417650
广东,2025,物理,279,418101
广东,2025,物理,278,418540
广东,2025,物理,277,419028
广东,2025,物理,276,419495
广东,2025,物理,275,419936
广东,2025,物理,274,420364
广东,2025,物理,273,420767
广东,2025,物理,272,421197
广东,2025,物理,271,421618
广东,2025,物理,270,421993
广东,2025,物理,269,422367
广东,2025,物理,268,422730
广东,2025,物理,267,423109
广东,2025,物理,266,423498
广东,2025,物理,265,423884
广东,2025,物理,264,424241
广东,2025,物理,263,424646
广东,2025,物理,262,424987
广东,2025,物理,261,425334
