province,year,track,score,rank
广东,2025,历史,442,115005
广东,2025,历史,441,116057
广东,2025,历史,440,117111
广东,2025,历史,439,118179
广东,2025,历史,438,119301
广东,2025,历史,437,120380
广东,2025,历史,436,121512
广东,2025,历史,435,122605
广东,2025,历史,434,123742
广东,2025,历史,433,124830
广东,2025,历史,432,125860
广东,2025,历史,431,127037
广东,2025,历史,430,128142
广东,2025,历史,429,129251
广东,2025,历史,428,130331
广东,2025,历史,427,131456
广东,2025,历史,426,132594
广东,2025,历史,425,133714
广东,2025,历史,424,134847
广东,2025,历史,423,135898
广东,2025,历史,422,137004
广东,2025,历史,421,138079
广东,2025,历史,420,139145
广东,2025,历史,419,140256
广东,2025,历史,418,141367
广东,2025,历史,417,142494
广东,2025,历史,416,143599
广东,2025,历史,415,144760
广东,2025,历史,414,145909
广东,2025,历史,413,147073
广东,2025,历史,412,148206
广东,2025,历史,411,149330
广东,2025,历史,410,150411
广东,2025,历史,409,151585
广东,2025,历史,408,152613
广东,2025,历史,407,153780
广东,2025,历史,406,154924
广东,2025,历史,405,156061
广东,2025,历史,404,157199
广东,2025,历史,403,158313
广东,2025,历史,402,159408
广东,2025,历史,401,160598
广东,2025,历史,400,161800
广东,2025,历史,399,162935
广东,2025,历史,398,164042
广东,2025,历史,397,165185
广东,2025,历史,396,166341
广东,2025,历史,395,167501
广东,2025,历史,394,168655
广东,2025,历史,393,169767
广东,2025,历史,392,170953
广东,2025,历史,391,172041
广东,2025,历史,390,173172
广东,2025,历史,389,174290
广东,2025,历史,388,175413
广东,2025,历史,387,176555
广东,2025,历史,386,177664
广东,2025,历史,385,178755
广东,2025,历史,384,179909
广东,2025,历史,383,181075
广东,2025,历史,382,182205
广东,2025,历史,381,183314
广东,2025,历史,380,184380
广东,2025,历史,379,185545
广东,2025,历史,378,186673
广东,2025,历史,377,187752
广东,2025,历史,376,188837
广东,2025,历史,375,189936
广东,2025,历史,374,190996
广东,2025,历史,373,192063
广东,2025,历史,372,193190
广东,2025,历史,371,194301
广东,2025,历史,370,195436
广东,2025,历史,369,196497
广东,2025,历史,368,197544
广东,2025,历史,367,198617
广东,2025,历史,366,199689
广东,2025,历史,365,200735
广东,2025,历史,364,201782
广东,2025,历史,363,202826
广东,2025,历史,362,203926
广东,2025,历史,361,204907
广东,2025,历史,360,205916
广东,2025,历史,359,206952
广东,2025,历史,358,207988
广东,2025,历史,357,209060
广东,2025,历史,356,210090
广东,2025,历史,355,211090
广东,2025,历史,354,212079
广东,2025,历史,353,213092
广东,2025,历史,352,214132
广东,2025,历史,351,215141
广东,2025,历史,350,216160
广东,2025,历史,349,217137
广东,2025,历史,348,218104
广东,2025,历史,347,219074
广东,2025,历史,346,220051
广东,2025,历史,345,221059
广东,2025,历史,344,222055
广东,2025,历史,343,223047
广东,2025,历史,342,223997
广东,2025,历史,341,224990
广东,2025,历史,340,225962
广东,2025,历史,339,226896
广东,2025,历史,338,227882
广东,2025,历史,337,228879
广东,2025,历史,336,229780
广东,2025,历史,335,230679
广东,2025,历史,334,231590
广东,2025,历史,333,232488
广东,2025,历史,332,233356
广东,2025,历史,331,234261
广东,2025,历史,330,235188
广东,2025,历史,329,236049
广东,2025,历史,328,236853
广东,2025,历史,327,237743
广东,2025,历史,326,238609
广东,2025,历史,325,239454
广东,2025,历史,324,240322
广东,2025,历史,323,241156
广东,2025,历史,322,241971
广东,2025,历史,321,242815
广东,2025,历史,320,243608
广东,2025,历史,319,244342
广东,2025,历史,318,245105
广东,2025,历史,317,245884
广东,2025,历史,316,246631
广东,2025,历史,315,247363
广东,2025,历史,314,248161
广东,2025,历史,313,248945
广东,2025,历史,312,249676
广东,2025,历史,311,250422
广东,2025,历史,310,251162
广东,2025,历史,309,251871
广东,2025,历史,308,252551
广东,2025,历史,307,253276
广东,2025,历史,306,253963
广东,2025,历史,305,254612
广东,2025,历史,304,255243
广东,2025,历史,303,255904
广东,2025,历史,302,256592
广东,2025,历史,301,257276
广东,2025,历史,300,257928
广东,2025,历史,299,258521
广东,2025,历史,298,259153
广东,2025,历史,297,259793
广东,2025,历史,296,260459
广东,2025,历史,295,261086
广东,2025,历史,294,261686
广东,2025,历史,293,262257
广东,2025,历史,292,262812
广东,2025,历史,291,263385
广东,2025,历史,290,263978
广东,2025,历史,289,264539
广东,2025,历史,288,265098
广东,2025,历史,287,265642
广东,2025,历史,286,266167
广东,2025,历史,285,266679
广东,2025,历史,284,267167
广东,2025,历史,283,267724
广东,2025,历史,282,268270
广东,2025,历史,281,268804
广东,2025,历史,280,269329
广东,2025,历史,279,269815
广东,2025,历史,278,270322
广东,2025,历史,277,270772
广东,2025,历史,276,271237
广东,2025,历史,275,271701
广东,2025,历史,274,272172
广东,2025,历史,273,272592
广东,2025,历史,272,273015
广东,2025,历史,271,273449
广东,2025,历史,270,273888
广东,2025,历史,269,274311
广东,2025,历史,268,274723
广东,2025,历史,267,275131
广东,2025,历史,266,275515
广东,2025,历史,265,275911
广东,2025,历史,264,276297
广东,2025,历史,263,276660
广东,2025,历史,262,277003
广东,2025,历史,261,277374
广东,2025,历史,260,277723
广东,2025,历史,259,278026
广东,2025,历史,258,278371
广东,2025,历史,257,278714
广东,2025,历史,256,279050
广东,2025,历史,255,279353
广东,2025,历史,254,279663
广东,2025,历史,253,279973
广东,2025,历史,252,280291
广东,2025,历史,251,280563
广东,2025,历史,250,280862
广东,2025,历史,249,281125
广东,2025,历史,248,281396
广东,2025,历史,247,281667
广东,2025,历史,246,281942
广东,2025,历史,245,282180
广东,2025,历史,244,282442
广东,2025,历史,243,282678
广东,2025,历史,242,282923
广东,2025,历史,241,283136
广东,2025,历史,240,283368
广东,2025,历史,239,283579
广东,2025,历史,238,283796
广东,2025,历史,237,283998
广东,2025,历史,236,284216
广东,2025,历史,235,284424
广东,2025,历史,234,284623
广东,2025,历史,233,284796
广东,2025,历史,232,284988
广东,2025,历史,231,285168
广东,2025,历史,230,285346
广东,2025,历史,229,285497
广东,2025,历史,228,285674
广东,2025,历史,227,285844
广东,2025,历史,226,285987
广东,2025,历史,225,286157
广东,2025,历史,224,286288
广东,2025,历史,223,286436
广东,2025,历史,222,286583
广东,2025,历史,221,286744
广东,2025,历史,220,286860
广东,2025,历史,219,286999
广东,2025,历史,218,287112
广东,2025,历史,217,287255
