province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,历史,北京师范大学,专业组 211,642,469,本科批,14,历史,0,院校代码:10027;专业组:211;计划数:14
广东,2025,历史,北京师范大学,专业组 218,628,1187,本科批,2,历史,0,院校代码:10027;专业组:218;计划数:2
广东,2025,历史,首都师范大学,专业组 208,596,5991,本科批,8,历史,0,院校代码:10028;专业组:208;计划数:8
广东,2025,历史,首都体育学院,专业组 204,547,25615,本科批,4,历史,0,院校代码:10029;专业组:204;计划数:4
广东,2025,历史,北京外国语大学,专业组 211,617,2308,本科批,21,历史,0,院校代码:10030;专业组:211;计划数:21
广东,2025,历史,北京外国语大学,专业组 212,616,2425,本科批,3,历史,0,院校代码:10030;专业组:212;计划数:3
广东,2025,历史,北京外国语大学(中外合作办学),专业组 213,606,3906,本科批,2,历史,0,院校代码:10030;专业组:213;计划数:2
广东,2025,历史,北京第二外国语学院,专业组 205,591,7496,本科批,2,历史,0,院校代码:10031;专业组:205;计划数:2
广东,2025,历史,北京第二外国语学院,专业组 206,574,13154,本科批,18,历史,0,院校代码:10031;专业组:206;计划数:18
广东,2025,历史,北京第二外国语学院,专业组 207,587,8551,本科批,7,历史,0,院校代码:10031;专业组:207;计划数:7
广东,2025,历史,北京语言大学,专业组 211,590,7750,本科批,19,历史,0,院校代码:10032;专业组:211;计划数:19
广东,2025,历史,北京语言大学(中外合作办学),专业组 212,540,29955,本科批,9,历史,0,院校代码:10032;专业组:212;计划数:9
广东,2025,历史,北京语言大学,专业组 213,590,7657,本科批,3,历史,0,院校代码:10032;专业组:213;计划数:3
广东,2025,历史,中国传媒大学,专业组 208,610,3331,本科批,2,历史,0,院校代码:10033;专业组:208;计划数:2
广东,2025,历史,中国传媒大学,专业组 209,612,2922,本科批,19,历史,0,院校代码:10033;专业组:209;计划数:19
广东,2025,历史,中国传媒大学(中外合作办学),专业组 210,603,4555,本科批,5,历史,0,院校代码:10033;专业组:210;计划数:5
广东,2025,历史,中国传媒大学,专业组 215,614,2666,本科批,2,历史,0,院校代码:10033;专业组:215;计划数:2
广东,2025,历史,中央财经大学,专业组 206,617,2324,本科批,38,历史,0,院校代码:10034;专业组:206;计划数:38
广东,2025,历史,中央财经大学(中外合作办学),专业组 207,611,3094,本科批,6,历史,0,院校代码:10034;专业组:207;计划数:6
广东,2025,历史,对外经济贸易大学,专业组 207,618,2176,本科批,38,历史,0,院校代码:10036;专业组:207;计划数:38
广东,2025,历史,北京物资学院,专业组 204,560,19068,本科批,2,历史,0,院校代码:10037;专业组:204;计划数:2
广东,2025,历史,首都经济贸易大学,专业组 204,588,8332,本科批,4,历史,0,院校代码:10038;专业组:204;计划数:4
广东,2025,历史,北京体育大学,专业组 215,588,8250,本科批,4,历史,0,院校代码:10043;专业组:215;计划数:4
广东,2025,历史,北京体育大学,专业组 216,583,9828,本科批,2,历史,0,院校代码:10043;专业组:216;计划数:2
广东,2025,历史,北京体育大学(中外合作办学),专业组 217,542,28624,本科批,8,历史,0,院校代码:10043;专业组:217;计划数:8
广东,2025,历史,中国音乐学院,专业组 203,581,10623,本科批,1,历史,0,院校代码:10046;专业组:203;计划数:1
广东,2025,历史,中央美术学院,专业组 206,591,7548,本科批,3,历史,0,院校代码:10047;专业组:206;计划数:3
广东,2025,历史,中央美术学院(中外合作办学),专业组 207,580,10923,本科批,6,历史,0,院校代码:10047;专业组:207;计划数:6
广东,2025,历史,中央戏剧学院,专业组 204,582,10371,本科批,11,历史,0,院校代码:10048;专业组:204;计划数:11
广东,2025,历史,中国戏曲学院,专业组 206,573,13564,本科批,1,历史,0,院校代码:10049;专业组:206;计划数:1
广东,2025,历史,中国戏曲学院,专业组 207,562,18392,本科批,2,历史,0,院校代码:10049;专业组:207;计划数:2
广东,2025,历史,中国戏曲学院,专业组 208,580,11046,本科批,1,历史,0,院校代码:10049;专业组:208;计划数:1
广东,2025,历史,北京电影学院,专业组 201,599,5482,本科批,2,历史,0,院校代码:10050;专业组:201;计划数:2
广东,2025,历史,北京电影学院,专业组 202,590,7680,本科批,2,历史,0,院校代码:10050;专业组:202;计划数:2
